original_names,updated_names,coral_type
pocillopora_acuta,pocillopora_acuta,hard_coral
pocillopora_acuta,pocillopora_acuta,hard_coral
pocillopora_acuta,pocillopora_acuta,hard_coral
pocillopora_acuta,pocillopora_acuta,hard_coral
pocillopora_acuta,pocillopora_acuta,hard_coral
pocillopora_damcornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_damicornis,pocillopora_damicornis,hard_coral
pocillopora_eydouxi,pocillopora_grandis,hard_coral
pocillopora_eydouxi,pocillopora_grandis,hard_coral
pocillopora_eydouxi,pocillopora_grandis,hard_coral
pocillopora_eydouxi,pocillopora_grandis,hard_coral
pocillopora_meandrina,pocillopora_meandrina,hard_coral
pocillopora_meandrina,pocillopora_meandrina,hard_coral
pocillopora_sp,pocillopora_sp,hard_coral
pocillopora_sp,pocillopora_sp,hard_coral
pocillopora_sp,pocillopora_sp,hard_coral
pocillopora_sp,pocillopora_sp,hard_coral
pocillopora_spp,pocillopora_spp,hard_coral
pocillopora_spp,pocillopora_spp,hard_coral
pocillopora_spp,pocillopora_spp,hard_coral
pocillopora_spp,pocillopora_spp,hard_coral
pocillopora_spp,pocillopora_spp,hard_coral
pocillopora_spp,pocillopora_spp,hard_coral
pocillopora_spp,pocillopora_spp,hard_coral
pocillopora_spp,pocillopora_spp,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocillopora_verrucosa,pocillopora_verrucosa,hard_coral
pocilloporidae,pocilloporidae,hard_coral
pocilloporidae,pocilloporidae,hard_coral
pocillpora_acuta,pocillpora_acuta,hard_coral
pocillpora_acuta,pocillpora_acuta,hard_coral
pocillpora_acuta,pocillpora_acuta,hard_coral
pocillpora_damicornis,pocillopora_damicornis,hard_coral
pocillpora_verrucosa,pocillopora_verrucosa,hard_coral
polycanthus_chaishanensis,polycyathus_chaishanensis,hard_coral
polycyathus_chaishanensis,polycyathus_chaishanensis,hard_coral
polycyathus_chaishanensis,polycyathus_chaishanensis,hard_coral
polycyathus_chaishanensis,polycyathus_chaishanensis,hard_coral
polycyathus_sp,polycyathus_sp,hard_coral
polyphyllia_talpina,polyphyllia_talpina,hard_coral
porites,porites_spp,hard_coral
porites,porites_spp,hard_coral
porites,porites_spp,hard_coral
porites,porites_spp,hard_coral
porites,porites_spp,hard_coral
porites,porites_spp,hard_coral
porites,porites_spp,hard_coral
porites,porites_spp,hard_coral
porites,porites_spp,hard_coral
Porites lutea,porites_lutea,hard_coral
porites_astreoides,porites_astreoides,hard_coral
porites_compressa,porites_compressa,hard_coral
porites_cylindrica,porites_cylindrica,hard_coral
porites_cylindrica,porites_cylindrica,hard_coral
porites_cylindrica,porites_cylindrica,hard_coral
porites_cylindrical,porites_cylindrica,hard_coral
porites_lichen,porites_lichen,hard_coral
porites_lichen,porites_lichen,hard_coral
porites_lichen,porites_lichen,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lobata,porites_lobata,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_lutea,porites_lutea,hard_coral
porites_murrayensis,porites_murrayensis,hard_coral
porites_nigrescens,porites_nigrescens,hard_coral
porites_nigrescens,porites_nigrescens,hard_coral
porites_nigrescens,porites_nigrescens,hard_coral
porites_okinawensis,porites_okinawensis,hard_coral
porites_rus,porites_rus,hard_coral
porites_solida,porites_solida,hard_coral
porites_solida,porites_solida,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
porites_sp,porites_sp,hard_coral
"porites_sp, and",porites_sp,hard_coral
porites_spp,porites_spp,hard_coral
porites_spp,porites_spp,hard_coral
porites_spp,porites_spp,hard_coral
porites_spp,porites_spp,hard_coral
porites_spp,porites_spp,hard_coral
porites_spp,porites_spp,hard_coral
porites_spp,porites_spp,hard_coral
porites_spp,porites_spp,hard_coral
porites_spp,porites_spp,hard_coral
poritidae,poritidae,hard_coral
poritidae,poritidae,hard_coral
porities_lutea,porites_lutea,hard_coral
psammacora,psammacora_spp,hard_coral
psammocora,psammacora_spp,hard_coral
psammocora_cf_albopicta,psammocora_albopicta,hard_coral
psammocora_columna,psammocora_columna,hard_coral
psammocora_contigua,psammocora_contigua,hard_coral
psammocora_contigua,psammocora_contigua,hard_coral
psammocora_contigua,psammocora_contigua,hard_coral
psammocora_digita,psammocora_digitata,hard_coral
psammocora_digitata,psammocora_digitata,hard_coral
psammocora_nierstraszi,psammocora_nierstraszi,hard_coral
psammocora_profundacella,psammocora_profundacella,hard_coral
psammocora_stellata,psammocora_stellata,hard_coral
psammocora_vaughani,psammocora_nierstraszi,hard_coral
pseudocorynactis_unidentified,NA,sea_anemone
pseudopterogorgia_americana,antillogorgia_americana,octocoral
pseudosiderastrea _formosa,pseudsiderastrea_formosa,hard_coral
pseudosiderastrea_formosa,pseudsiderastrea_formosa,hard_coral
pseudosiderastrea_formosa,pseudsiderastrea_formosa,hard_coral
pseudosiderastrea_tayamai,pseudosiderastrea_tayamai,hard_coral
pseudosiderastrea_tayamai,pseudosiderastrea_tayamai,hard_coral
pseudosiderastrea_tayami,pseudosiderastrea_tayamai,hard_coral
renilla_reniformis,renilla_reniformis,octocoral
rhodactis_bryoides,NA,sea_anemone
rhodactis_indosinensis,NA,sea_anemone
rhodactis_mussoides,NA,sea_anemone
ricordia_florida,NA,sea_anemone
ricordia_yuma,NA,sea_anemone
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipathies,rumphella_antipathies,octocoral
rumphella_antipaths,rumphella_antipathies,octocoral
sandalolitha_robusta,sandalolitha_robusta,hard_coral
sarcophyton_auritum,sarcophyton_auritum,octocoral
sarcophyton_cherbonnieri,sarcophyton_cherbonnieri,octocoral
sarcophyton_cherbonnieri,sarcophyton_cherbonnieri,octocoral
sarcophyton_cherbonnieri,sarcophyton_cherbonnieri,octocoral
sarcophyton_chinensis,sarcophyton_sp,octocoral
sarcophyton_cinereum,sarcophyton_cinereum,octocoral
sarcophyton_cinereum,sarcophyton_cinereum,octocoral
sarcophyton_cinereum,sarcophyton_cinereum,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_crassocaule,sarcophyton_crassocaule,octocoral
sarcophyton_digitatum,sarcophyton_digitatum,octocoral
sarcophyton_ehrenbergi,sarcophyton_ehrenbergi,octocoral
sarcophyton_ehrenbergi,sarcophyton_ehrenbergi,octocoral
sarcophyton_ehrenbergi,sarcophyton_ehrenbergi,octocoral
sarcophyton_ehrenbergi,sarcophyton_ehrenbergi,octocoral
sarcophyton_ehrenbergi,sarcophyton_ehrenbergi,octocoral
sarcophyton_ehrenbergi,sarcophyton_ehrenbergi,octocoral
sarcophyton_elegans,sarcophyton_elegans,octocoral
sarcophyton_flexibilis,sarcophyton_flexibilis,octocoral
sarcophyton_glaucum,sarcophyton_glaucum,octocoral
sarcophyton_glaucum,sarcophyton_glaucum,octocoral
sarcophyton_glaucum,sarcophyton_glaucum,octocoral
sarcophyton_glaucum,sarcophyton_glaucum,octocoral
sarcophyton_glaucum,sarcophyton_glaucum,octocoral
sarcophyton_glochidum,sarcophyton_glaucum,octocoral
sarcophyton_manaarensis,sarcophyton_sp,octocoral
sarcophyton_nanwanensis,sarcophyton_nanwanensis,octocoral
sarcophyton_sp,sarcophyton_sp,octocoral
sarcophyton_sp,sarcophyton_sp,octocoral
sarcophyton_sp,sarcophyton_sp,octocoral
sarcophyton_sp,sarcophyton_sp,octocoral
sarcophyton_sp.,sarcophyton_sp,octocoral
sarcophyton_stellatum,sarcophyton_stellatum,octocoral
sarcophyton_stellatum,sarcophyton_stellatum,octocoral
sarcophyton_stolidotum,sarcophyton_stolidotum,octocoral
sarcophyton_tenuispiculatum,sarcophyton_tenuispiculatum,octocoral
sarcophyton_tortuosum,sarcophyton_tortuosum,octocoral
sarcophyton_tortuosum,sarcophyton_tortuosum,octocoral
sarcophyton_tortuosum,sarcophyton_tortuosum,octocoral
sarcophyton_trocheliophorum,sarcophyton_trocheliophorum,octocoral
sarcophyton_trocheliophorum,sarcophyton_trocheliophorum,octocoral
sarcophyton_trocheliophorum,sarcophyton_trocheliophorum,octocoral
sarcophyton_trocheliophorum,sarcophyton_trocheliophorum,octocoral
sarcophyton_trocheliophorum,sarcophyton_trocheliophorum,octocoral
sarcophyton_trocheliophorum,sarcophyton_trocheliophorum,octocoral
sarcophyton_trocheliophorum,sarcophyton_trocheliophorum,octocoral
sarcophyton_trocheliophorum,sarcophyton_trocheliophorum,octocoral
sarcophyton_trocheliophorum,sarcophyton_trocheliophorum,octocoral
Sarcophytoncrassocaule_sp,sarcophyton_crassocaule,octocoral
scapophyllia,merulina_spp,hard_coral
scapophyllia_cylindrica,merulina_cylindrica,hard_coral
scleractinian_corals,scleractinian_corals,hard_coral
scleronephthya_flexilis,scleronephthya_flexilis,octocoral
scleronephthya_gracillimum,scleronephthya_gracillima,octocoral
scleronephthya_gracillimum,scleronephthya_gracillima,octocoral
